"Designator","Mid X","Mid Y","Layer","Rotation"
"L4","158.25mm","-31mm","top","90.0"
"L3","158.25mm","-43.75mm","top","90.0"
"L2","117.75mm","-31mm","top","90.0"
"L1","117.75mm","-43.75mm","top","90.0"
"C18","130.5mm","-42.5mm","top","180.0"
"C17","146.5mm","-42.5mm","top","0.0"
"C14","146.5mm","-44.75mm","top","0.0"
"R39","143.75mm","-56.25mm","top","90.0"
"R37","141.25mm","-56.25mm","top","90.0"
"R35","138.5mm","-56.25mm","top","90.0"
"R29","136.75mm","-56.25mm","top","90.0"
"C11","130.55mm","-44.75mm","top","180.0"
"U11","96.75mm","-98.75mm","top","90.0"
"U10","104.25mm","-98.75mm","top","90.0"
"U9","88mm","-122mm","top","0.0"
"U7","100.5mm","-98.75mm","top","90.0"
"U6","108mm","-98.75mm","top","90.0"
"U5","168.75mm","-77.5mm","top","270.0"
"U2","157.5mm","-75.25mm","top","90.0"
"R1","131mm","-49.75mm","top","180.0"
"D1","210.4215mm","-44.6mm","top","180.0"
"D2","210.343mm","-38.25mm","top","180.0"
"R16","133.096mm","-108.712mm","top","90.0"
"BT1","95mm","-68.5mm","top","0.0"
"U3","138.557mm","-45.72mm","top","0.0"
"J5","189.3824mm","-116.5352mm","top","0.0"
"J22","116.332mm","-116.332mm","top","0.0"
"SW1","208.25mm","-52.25mm","top","0.0"
"J9","130.429mm","-27.305mm","top","0.0"
"J11","139.879mm","-27.305mm","top","0.0"
"C2","142.75mm","-47.5mm","top","180.0"
"C3","142.75mm","-46.5mm","top","180.0"
"C5","134.493mm","-46.99mm","top","0.0"
"C6","142.75mm","-48.75mm","top","180.0"
"C7","134.747mm","-44.196mm","top","90.0"
"C8","137.795mm","-42.037mm","top","180.0"
"C9","142.748mm","-43.434mm","top","90.0"
"C12","128.651mm","-36.322mm","top","90.0"
"C13","137.668mm","-36.322mm","top","90.0"
"C15","135.636mm","-36.322mm","top","90.0"
"C16","145.415mm","-36.322mm","top","90.0"
"C10","139.319mm","-42.037mm","top","0.0"
"U1","194.564mm","-74.676mm","top","-90.0"
"R15","185mm","-108.75mm","top","90.0"
"J10","99.06mm","-116.2304mm","top","0.0"
"J14","178.562mm","-116.332mm","top","0.0"
"J23","145.288mm","-116.332mm","top","0.0"
"R13","128.524mm","-108.712mm","top","90.0"
"R14","130.81mm","-108.712mm","top","90.0"
"R24","162.814mm","-108.712mm","top","90.0"
"R22","157.734mm","-108.712mm","top","90.0"
"Q3","159.766mm","-97.282mm","top","90.0"
"R21","155.321mm","-108.712mm","top","90.0"
"R9","119.38mm","-108.712mm","top","90.0"
"R20","152.781mm","-108.712mm","top","90.0"
"R11","123.952mm","-108.712mm","top","90.0"
"R19","150.241mm","-108.712mm","top","90.0"
"R12","126.238mm","-108.712mm","top","90.0"
"R23","160.274mm","-108.712mm","top","90.0"
"U8","141.732mm","-99.822mm","top","270.0"
"R10","121.666mm","-108.712mm","top","90.0"
"U4","124.46mm","-82.296mm","top","270.0"
"R30","205.0875mm","-44.6mm","top","0.0"
"R31","205.0875mm","-38.25mm","top","0.0"
"J1","71.12mm","-95.25mm","top","0.0"
"J2","71.12mm","-105.41mm","top","0.0"
"J3","71.12mm","-115.93mm","top","0.0"
"R2","124.83mm","-90.17mm","top","180.0"
"R18","124.83mm","-92.71mm","top","180.0"
"R27","124.83mm","-95.25mm","top","180.0"
"J12","178.054mm","-104.394mm","top","180.0"
"C4","133.096mm","-46.228mm","top","180.0"
"C1","134.366mm","-49.784mm","top","180.0"
"R17","79.25mm","-86.25mm","top","-90.0"
"JP1","129.75mm","-95.75mm","top","180.0"
"JP2","129.75mm","-93mm","top","180.0"
"JP3","129.75mm","-90.25mm","top","180.0"
"R25","201mm","-60.75mm","top","180.0"
"C21","202.5mm","-58.75mm","top","0.0"
"J4","95mm","-105.5mm","top","0.0"
"C23","194.75mm","-59.25mm","top","-90.0"
"C22","197.25mm","-61.25mm","top","-90.0"
"R36","196.25mm","-93.5mm","top","0.0"
"Q1","166.25mm","-60.75mm","top","180.0"
"D3","157.25mm","-70.5mm","top","0.0"
"J7","186.79mm","-42.4975mm","top","-90.0"
"F1","65.75mm","-80.5mm","top","0.0"
"U12","80mm","-35mm","top","0.0"
"R7","174.25mm","-63.25mm","top","-90.0"
"Q2","171.5mm","-61.5625mm","top","270.0"
"SW2","208.25mm","-106.75mm","top","0.0"
"R32","196.5mm","-90.25mm","top","180.0"
"Q7","202.5mm","-93.25mm","top","90.0"
"F2","63.5mm","-54.75mm","top","0.0"
"F3","63.5mm","-68mm","top","0.0"
"R41","204.75mm","-99mm","top","180.0"
"R5","163.25mm","-73.75mm","top","180.0"
"R3","165mm","-70.5mm","top","90.0"
"Q4","196.5mm","-87.25mm","top","90.0"
"R33","179.25mm","-85.25mm","top","-90.0"
"R26","176.5mm","-85.25mm","top","-90.0"
"R34","182mm","-85.25mm","top","-90.0"
"R4","163mm","-60.75mm","top","90.0"
"R38","202.5mm","-96.25mm","top","180.0"
"J8","186.58mm","-25.9975mm","top","-90.0"
"R8","170.75mm","-67.1625mm","top","90.0"
"J6","55.25mm","-73.75mm","top","90.0"
"R28","173.75mm","-85.25mm","top","-90.0"
"R6","163mm","-67mm","top","90.0"
