"Comment","Designator","Footprint","LCSC Part #"
"Battery_Cell","BT1","BatteryHolder_Keystone_1060_1x2032","C238069"
"100nF/50v","C1,C2,C3,C7,C8,C9,C19","C_0603_1608Metric","C14663"
"33nF/50V","C4,C10,C12,C13","C_0603_1608Metric","C21117"
"4.7µF/16v","C5","C_0603_1608Metric","C19666"
"10µF/6.3v","C6","CP_Elec_4x5.4","C178496"
"680nF/50V","C11,C16,C17,C20","C_1206_3216Metric","C396794"
"330pF/50V","C14,C15,C18","C_0603_1608Metric","C1664"
"1µF/50v","C21,C23","C_0805_2012Metric","C28323"
"100µF/6.3v","C22","C_1206_3216Metric","C15008"
"220pF/50V","C24","C_0603_1608Metric","C1603"
"4.7nF/50V","C25,C26","C_0603_1608Metric","C53987"
"470nF/16v","C27,C28","C_0603_1608Metric","C194073"
"220µF/35v","C29,C30","C_Elec_8x10.2","C724731"
"RUN","D2","LED_0805_2012Metric","C84256"
"BAT54","D3","SOT-23","C37704"
"PWR2","D4","LED_0805_2012Metric","C84256"
"2A 30V","F1,F2,F3,F4","Fuse_1812_4532Metric","C960026"
"120Ohm@100MHz 4A","FB1,FB2","L_1206_3216Metric","C369528"
"15µH","L1,L2,L3,L4","L_SigTra_SC3316F","C329909"
"SS8050","Q1","SOT-23","C2150"
"SS8850","Q2","SOT-23","C8542"
"ULN2803ADWR","Q3","SOIC-18W_7.5x11.6mm_P1.27mm","C9683"
"BSS138","Q4,Q7","SOT-23","C890265"
"4k7","R2,R9,R10,R11,R12,R13,R14,R15,R16,R18,R27,R1","R_0805_2012Metric","C17673"
"100k","R4,R5,R7","R_0805_2012Metric","C25271"
"68k","R6,R8","R_0805_2012Metric","C17801"
"22","R19,R20,R21,R22,R23,R24","R_0805_2012Metric","C17561"
"100","R26,R28,R33,R34","R_0603_1608Metric","C22775"
"15.0k","R29","R_0603_1608Metric","C22809"
"10k","R30,R45,R17,R25,R32,R36,R38,R41,R3","R_0603_1608Metric","C25804"
"180","R31,R40","R_0805_2012Metric","C25270"
"18.2k","R35","R_0603_1608Metric","C22892"
"18","R37,R39,R42","R_0603_1608Metric","C22830"
"470","R43,R44","R_0603_1608Metric","C23179"
"RESET","SW1","SW_SPST_Omron_B3FS-100xP","C87038"
"BOOT","SW2","SW_SPST_Omron_B3FS-100xP","C87038"
"ESP32-WROOM-32D(16M)","U1","ESP32-WROOM-32","C529578"
"SN74LVC1G17","U2,U5,U6,U7,U9,U10,U11","SOT-353_SC-70-5","C10425"
"TAS5731PHP","U3","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias","C181751"
"DS3231M","U4","SOIC-8_3.9x4.9mm_P1.27mm","C107410"
"MCP23017T-E/SO","U8","SOIC-28W_7.5x17.9mm_P1.27mm","C629440"
