"Comment","Designator","Footprint","LCSC Part #"
"Battery_Cell","BT1","",""
"PWR","D1","0805","C84256"
"RUN","D2","0805","C84256"
"2A 15V","F1","2920","C207087"
"2.6A 6V","F2","0805","C70159"
"Polyfuse","F3","0805","C70062"
"REEL_RIGHT","J1","",""
"REEL_CENTRE","J2","",""
"REEL_LEFT","J3","",""
"LED / VFD","J4","",""
"LED_STRIP","J5","",""
"ATX-24","J6","",""
"CREDIT_DISPLAY","J10","",""
"4k7","R17 R2 R9 R10 R11 R12 R13 R14 R15 R16 R18 R27","0805","C17673"
"220","R30","0805","C25270"
"180","R31","0805","C25270"
"DS3231M","U4","SOIC-16_7.5x10.3x1.27P","C37663"
"4.7µF/16v","C1","0603","C19666"
"1µF","C2 C3 C5","0201","C15849"
"0.1µF/16v","C4 C6","0201","C49678"
"0.47µF","C7 C8 C9 C10","0201","C473213"
"22µF/35v","C11 C14 C17 C18","0805","C45783"
"0.68µF","C12 C13 C15 C16","0201","C31658"
"SPKR_L","J9","",""
"SPKR_R","J11","",""
"10µH / 4.4A / 0.03Ohm","L1 L2 L3 L4","10.4x10.4mm","C397817"
"0","R1","0603","C21189"
"10k","R29 R35 R37 R39 R25 R32 R36 R38 R41 R3","0603","C17477"
"TAS5825MRHB","U3","VQFN-32-EP","C471049"
"1µF/50v","C21","0805","C28323"
"100µF/6.3v","C22","1206","C15008"
"1µF/50V","C23","0805","C28323"
"HEADER_6x2","J12","",""
"BSS138","Q4 Q7","SOT-23-3","C890265"
"100","R26 R28 R33 R34","0603","C22775"
"RESET","SW1","6x3.1mm","C87038"
"BOOT","SW2","6x3.1mm","C87038"
"ESP32-WROOM-32E(16M)","U1","QFN-38_EP_18.0x25.5x1.27P","C701343"
"SN74LVC1G17","U2 U5 U6 U7 U9 U10 U11","SOT-23-5","C7836"
"DOOR_SW","J14","",""
"BTN_SWITCHES","J22","",""
"BTN_LAMPS","J23","",""
"A2","JP1","",""
"A1","JP2","",""
"A0","JP3","",""
"ULN2803ADWR","Q3","SOIC-18_7.5x11.5x1.27P","C9683"
"22","R19 R20 R21 R22 R23 R24","0805","C17561"
"MCP23017-E_SO","U8","SOIC-28_300mil","C47023"
"BAT54","D3","SOT-23-3","C37704"
"HOPPER","J7","",""
"COIN_VALIDATOR","J8","",""
"BC846","Q1","SOT-23-3","C181138"
"BC856","Q2","SOT-23-3","C2904849"
"100k","R4 R5 R7","0805","C180850"
"68k","R6 R8","0805","C17801"
