Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_1060_1x2032,81.500000,-50.000000,270.000000,top
C1,100nF/50v,C_0603_1608Metric,115.625000,-55.375000,180.000000,top
C2,100nF/50v,C_0603_1608Metric,131.125000,-59.625000,0.000000,top
C3,100nF/50v,C_0603_1608Metric,131.125000,-57.875000,0.000000,top
C4,33nF/50V,C_0603_1608Metric,127.375000,-57.875000,90.000000,top
C5,4.7µF/16v,C_0603_1608Metric,121.000000,-67.375000,-90.000000,top
C6,10µF/6.3v,CP_Elec_4x5.4,106.000000,-62.375000,90.000000,top
C7,100nF/50v,C_0603_1608Metric,123.375000,-67.375000,-90.000000,top
C8,100nF/50v,C_0603_1608Metric,109.500000,-62.000000,90.000000,top
C9,100nF/50v,C_0603_1608Metric,128.500000,-62.250000,-90.000000,top
C10,33nF/50V,C_0603_1608Metric,114.875000,-57.750000,-90.000000,top
C11,680nF/50V,C_1206_3216Metric,108.250000,-29.750000,0.000000,top
C12,33nF/50V,C_0603_1608Metric,122.250000,-49.000000,0.000000,top
C13,33nF/50V,C_0603_1608Metric,121.125000,-52.125000,0.000000,top
C14,330pF/50V,C_0603_1608Metric,117.975000,-46.750000,0.000000,top
C15,330pF/50V,C_0603_1608Metric,131.000000,-46.750000,180.000000,top
C16,680nF/50V,C_1206_3216Metric,122.250000,-29.750000,180.000000,top
C17,680nF/50V,C_1206_3216Metric,129.000000,-29.750000,0.000000,top
C18,330pF/50V,C_0603_1608Metric,130.875000,-50.625000,180.000000,top
C19,100nF/50v,C_0603_1608Metric,126.625000,-55.375000,180.000000,top
C20,680nF/50V,C_1206_3216Metric,142.500000,-29.750000,180.000000,top
C21,1µF/50v,C_0805_2012Metric,202.500000,-58.750000,0.000000,top
C22,100µF/6.3v,C_1206_3216Metric,197.250000,-61.250000,-90.000000,top
C23,1µF/50v,C_0805_2012Metric,194.750000,-59.250000,-90.000000,top
C24,220pF/50V,C_0603_1608Metric,111.250000,-58.500000,-90.000000,top
C25,4.7nF/50V,C_0603_1608Metric,115.625000,-67.125000,180.000000,top
C26,4.7nF/50V,C_0603_1608Metric,114.875000,-61.375000,90.000000,top
C27,470nF/16v,C_0603_1608Metric,114.875000,-64.625000,90.000000,top
C28,470nF/16v,C_0603_1608Metric,111.125000,-62.900000,90.000000,top
C29,220µF/35v,C_Elec_8x10.2,105.875000,-53.625000,180.000000,top
C30,220µF/35v,C_Elec_8x10.2,138.625000,-53.625000,0.000000,top
D2,RUN,LED_0805_2012Metric,210.343000,-38.250000,180.000000,top
D3,BAT54,SOT-23,164.687500,-37.200000,0.000000,top
D4,PWR2,LED_0805_2012Metric,210.500000,-43.205000,180.000000,top
F1,2A 30V,Fuse_1812_4532Metric,63.750000,-82.000000,0.000000,top
F2,2A 30V,Fuse_1812_4532Metric,63.750000,-76.500000,0.000000,top
F3,2A 30V,Fuse_1812_4532Metric,63.750000,-65.250000,0.000000,top
F4,2A 30V,Fuse_1812_4532Metric,63.750000,-70.750000,0.000000,top
FB1,120Ohm@100MHz 4A,L_1206_3216Metric,116.125000,-51.875000,-90.000000,top
FB2,120Ohm@100MHz 4A,L_1206_3216Metric,126.125000,-51.875000,-90.000000,top
J1,REEL_RIGHT,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,71.120000,-95.250000,0.000000,top
J2,REEL_CENTRE,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,71.120000,-105.410000,0.000000,top
J3,REEL_LEFT,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,71.120000,-115.930000,0.000000,top
J4,LED / VFD,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,95.000000,-105.500000,0.000000,top
J5,LED_STRIP,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,189.382400,-116.535200,0.000000,top
